Stock,Date,Opnprc,Hiprc,Loprc,Clsprc,Volume,Amount,ToverOs,OutShares,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio,LimitDown,LimitUp,LimitStatus
2594,5/5/2022,246.2,252.39,241.77,248.8,25325879,6282897504,2.174335,1164764604,289793433.5,451109942.3,0.023868,0.023868,253.821868,248.799137,1,0,0,243,0.023868,218.7,267.3,0
2594,5/6/2022,241.02,246,240.1,242.08,14548866,3530097270,1.249082,1164764604,281966215.3,438925622.3,-0.02701,-0.02701,246.966229,242.07916,1,0,0,248.8,-0.02701,223.92,273.68,0
2594,5/9/2022,231,236.89,231,232.73,17511635,4086613976,1.503448,1164764604,271075666.3,421972736.6,-0.038624,-0.038624,237.427505,232.729192,1,0,0,242.08,-0.038624,217.87,266.29,0
2594,5/10/2022,224.1,233.66,222.28,233.33,20969664,4792958517,1.800335,1164764604,271774525.1,423060622.4,0.002578,0.002578,238.039616,233.32919,1,0,0,232.73,0.002578,209.46,256,0
2594,5/11/2022,232,256.66,231.5,252.7,45952571,11482476078,3.945224,1164764604,294336015.4,458181199.5,0.083015,0.083015,257.800587,252.699123,1,0,0,233.33,0.083015,210,256.66,0
2594,5/12/2022,249.99,257.7,248.71,254.09,24115606,6107994848,2.070427,1164764604,295955038.2,460701468,0.005501,0.005501,259.218643,254.089118,1,0,0,252.7,0.005501,227.43,277.97,0
2594,5/13/2022,259.8,271.5,255.91,270.08,36712061,9733352390,3.151887,1164764604,314579624.3,489693622.3,0.06293,0.06293,275.531391,270.079062,1,0,0,254.09,0.06293,228.68,279.5,0
2594,5/16/2022,271.11,273,265.3,267.12,20236880,5441551550,1.737422,1164764604,311131921,484326719.4,-0.01096,-0.01096,272.511645,267.119072,1,0,0,270.08,-0.01096,243.07,297.09,0
2594,5/17/2022,268.98,285,268.5,282.5,29348903,8193618911,2.519728,1164764604,329046000.6,512212856.5,0.057577,0.057577,288.20208,282.499019,1,0,0,267.12,0.057577,240.41,293.83,0
2594,5/18/2022,282.5,288,279,281.42,20530270,5812000946,1.762611,1164764604,327788054.9,510254662.3,-0.003823,-0.003823,287.100281,281.419023,1,0,0,282.5,-0.003823,254.25,310.75,0
2594,5/19/2022,275.31,285.35,274.3,284.51,17363651,4879756543,1.490743,1164764604,331387177.5,515857273.7,0.01098,0.01098,290.252651,284.509012,1,0,0,281.42,0.01098,253.28,309.56,0
2594,5/20/2022,287.01,291.61,281.2,287.7,17868336,5125699547,1.534073,1164764604,335102776.6,521641199.4,0.011212,0.011212,293.507039,287.699001,1,0,0,284.51,0.011212,256.06,312.96,0
2594,5/23/2022,292.7,298,287.81,295.2,25558816,7496178213,2.194333,1164764604,343838511.1,535239770.8,0.026069,0.026069,301.158422,295.198975,1,0,0,287.7,0.026069,258.93,316.47,0
2594,5/24/2022,290,292.96,281,281,29049653,8303003901,2.494036,1164764604,327298853.7,509493142.3,-0.048103,-0.048103,286.671804,280.999024,1,0,0,295.2,-0.048103,265.68,324.72,0
2594,5/25/2022,281.26,288.65,278.03,287.2,23085773,6563211987,1.982012,1164764604,334520394.3,520734628,0.022064,0.022064,292.996947,287.199002,1,0,0,281,0.022064,252.9,309.1,0
2594,5/26/2022,287.37,291.22,282.5,286.64,14309499,4106312149,1.228531,1164764604,333868126.1,519719268,-0.00195,-0.00195,292.425644,286.639004,1,0,0,287.2,-0.00195,258.48,315.92,0
2594,5/27/2022,292.95,297.61,286.65,288.88,15318685,4467796259,1.315174,1164764604,336477198.8,523780708,0.007815,0.007815,294.710857,288.878996,1,0,0,286.64,0.007815,257.98,315.3,0
2594,5/30/2022,292,299.7,291.08,298.12,21852350,6485731977,1.876117,1164764604,347239623.7,540534147.9,0.031986,0.031986,304.13736,298.118964,1,0,0,288.88,0.031986,259.99,317.77,0
2594,5/31/2022,300,300.96,293.51,295.91,17701119,5242211080,1.519716,1164764604,344665494,536527102.2,-0.007413,-0.007413,301.882753,295.908972,1,0,0,298.12,-0.007413,268.31,327.93,0
2594,6/1/2022,298,304.8,293.12,299.98,21691175,6501902117,1.86228,1164764604,349406085.9,543906593.6,0.013754,0.013754,306.034903,299.978958,1,0,0,295.91,0.013754,266.32,325.5,0
2594,6/2/2022,296,305,295.22,301.02,17772777,5355773611,1.525869,1164764604,350617441.1,545792262.2,0.003467,0.003467,307.095895,301.018954,1,0,0,299.98,0.003467,269.98,329.98,0
2594,6/6/2022,304,320.47,302.55,318.23,29475729,9260502507,2.530617,1164764604,370663039.9,576996450.8,0.057172,0.057172,324.653268,318.228894,1,0,0,301.02,0.057172,270.92,331.12,0
2594,6/7/2022,318,319.87,311.11,314.89,20022089,6296538086,1.718982,1164764604,366772726.2,570940553.6,-0.010496,-0.010496,321.245852,314.888906,1,0,0,318.23,-0.010496,286.41,350.05,0
2594,6/8/2022,318.6,328.06,313.01,327.41,29051340,9321932807,2.494181,1164764604,381355579,593641102.2,0.03976,0.03976,334.01856,327.408863,1,0,0,314.89,0.03976,283.4,346.38,0
2594,6/9/2022,334.03,334.8,321,322.41,30754172,10050640390,2.640377,1164764604,375531756,584575387.9,-0.015271,-0.015271,328.917638,322.40888,1,0,0,327.41,-0.015271,294.67,360.15,0
2594,6/10/2022,321.5,350,321.06,348.8,43824900,14790622515,3.762554,1164764604,406269893.9,632424227.8,0.081852,0.081852,355.840303,348.798788,1,0,0,322.41,0.081852,290.17,354.65,0
2594,6/13/2022,346,358.86,340.6,348.8,36068132,12573534324,3.096603,1164764604,406269893.9,632424227.8,0,0,355.840303,348.798788,1,0,0,348.8,0,313.92,383.68,0
2594,6/14/2022,342,344.79,327.23,343.59,40478934,13634616448,3.475289,1164764604,400201470.3,622977753.6,-0.014937,-0.014937,350.525143,343.588806,1,0,0,348.8,-0.014937,313.92,383.68,0
2594,6/15/2022,343.97,346.23,332.52,335,30394787,10285857695,2.609522,1164764604,390196142.3,607402856.4,-0.025001,-0.025001,341.761759,334.998836,1,0,0,343.59,-0.025001,309.23,377.95,0
2594,6/16/2022,335.5,342.7,333.41,336,19017245,6410739474,1.632711,1164764604,391360906.9,609215999.3,0.002985,0.002985,342.781943,335.998833,1,0,0,335,0.002985,301.5,368.5,0
